device_type_area_location_description_location_id,1,controller_id,controller_pin
button_entrance_main_1,1,controller01,0
button_entrance_main_1,1,controller01,1
button_entrance_main_1,1,controller01,2
button_entrance_main_1,1,controller01,
button_entrance_aside_2,1,controller01,3
button_entrance_aside_2,1,controller01,4
button_garage_main_3,1,controller01,5
button_garage_main_3,1,controller01,6
button_garage_main_3,1,controller01,
button_garage_desk_4,1,controller01,7
button_garage_desk_4,1,controller01,8
button_garage_desk_4,1,controller01,9
button_boiler_room_main_5,1,controller01,10
button_boiler_room_main_5,1,controller01,11
button_dining_room_toilet_17,1,controller01,13
button_dining_room_toilet_17,1,controller01,14
button_toilet_main_18,1,controller01,15
button_front_main_0,1,controller01,16
button_front_main_0,1,controller01,17
button_dining_room_main_6,1,controller02,0
button_dining_room_main_6,1,controller02,1
button_living_room_secondary_7,1,controller02,2
button_living_room_secondary_7,1,controller02,3
button_living_room_library_9,1,controller02,5
button_kitchen_island_11,1,controller02,6
button_kitchen_island_11,1,controller02,7
button_dining_room_toilet_17,1,controller02,7
button_kitchen_cooker_12,1,controller02,8
button_kitchen_cooker_12,1,controller02,9
button_dining_room_toilet_17b,1,controller02,8
button_dining_room_toilet_17b,1,controller02,9
button_office_main_14,1,controller02,12
button_office_main_14,1,controller02,
button_office_desk_15,1,controller02,13
button_office_desk_15,1,controller02,14
button_office_bed_16,1,controller02,15
button_dining_room_main_6,1,controller03,0
button_living_room_secondary_7,1,controller03,2
button_living_room_secondary_7,1,controller03,3
button_living_room_main_8,1,controller03,6
button_living_room_main_8,1,controller03,7
button_living_room_main_8,1,controller03,8
button_living_room_main_8,1,controller03,9
button_library_main_10,1,controller03,12
button_library_main_10,1,controller03,13
button_library_main_10,1,controller03,14
button_hall_stairs_19,1,controller03,15
button_hall_stairs_19,1,controller03,16
button_hall_terrace_20,1,controller03,17
button_hall_terrace_20,1,controller03,18
button_hall_terrace_20,1,controller03,19
button_hall_terrace_20,1,controller03,20
button_hall_main_21,1,controller03,21
button,21_main_2_hall,1,22,
button_hall_bathroom_22,1,controller04,gpio12
button_hall_bathroom_22,1,controller04,gpio13
button_hall_bathroom_22,1,controller04,gpio14
button_bathroom_main_23,1,controller04,gpio26
button_bathroom_main_23,1,controller04,gpio27
button_bedroom_1_main_24,1,controller05,gpio12
button_bedroom_1_main_24,1,controller05,gpio13
button_bedroom_1_main_24,1,controller05,gpio14
button_bedroom_1_main_25,1,controller05,gpio12
button_bedroom_1_main_25,1,controller05,gpio13
button_bedroom_1_main_25,1,controller05,gpio14
button_bedroom_1_main_26,1,controller05,gpio12
button_bedroom_1_main_26,1,controller05,gpio13
button_bedroom_1_main_26,1,controller05,gpio14
button_bedroom_1_wardrobe_27,1,controller05,gpio32
button_bedroom_1_wardrobe_27,1,controller05,
button_bedroom_2_main_28,1,controller06,gpio12
button_bedroom_2_main_28,1,controller06,gpio13
button_bedroom_2_aside_29,1,controller06,gpio14
button_bedroom_3_aside_31,1,controller06,gpio25
button_bedroom_3_main_30,1,controller06,gpio27
button_bedroom_3_main_30,1,controller06,gpio33
