source_location_id,source_location_slot,trigger,action,target_location_id,timeout
0,1,on_short_press,cover.toggle,A-gate,
0,1,on_long_press,light.toggle,Ao,
0,2,on_short_press,switch.toggle,Aa-door,
0,2,on_long_press,light.toggle,Ax,
1,1,on_press,light.toggle,A1,
1,2,on_press,light.toggle,Ao,
1,3,on_press,light.toggle,Ax,
2,1,on_press,light.toggle,A1,
2,2,on_press,light.toggle,A2,
3,1,on_press,light.toggle,B1,
3,2,on_press,light.toggle,B2,
4,1,on_press,light.toggle,B1,
4,2,on_press,light.toggle,B2,
4,3,on_press,light.toggle,B3,
5,2,on_press,light.toggle,C1,
5,2,on_press,light.toggle,C2,
6,1,on_press,light.toggle,D1,
6,2,on_press,light.toggle,D2,
6c,3,on_press,light.toggle,D4,
6c,4,on_press,light.toggle,D3,
6b,5,on_press,light.toggle,A1,
6,6,on_press,light.toggle,G2,
7b,1,on_press,light.toggle,D1,
7b,2,on_press,light.toggle,D2,
7,3,on_press,light.toggle,Dp,
7,4,on_press,light.toggle,D3,
7,5,on_press,light.toggle,Dw,
7,6,on_press,light.toggle,Du,
8,1,on_press,light.toggle,Do,
8,2,on_press,light.toggle,Dz,
8,3,on_press,light.toggle,Dx,
8,3,on_press,light.toggle,Dy,
8,4,on_press,light.toggle,D3,
8b,5,on_press,light.toggle,D2,
8,6,on_press,light.toggle,D4,
9b,1,on_press,light.toggle,D1,
9,2,on_press,light.toggle,D3,
10,1,on_press,light.toggle,E1,
10,2,on_press,light.toggle,E2,
10,3,on_press,light.toggle,Eo,
11,1,on_press,light.toggle,D1,
11,2,on_press,light.toggle,F1,
12,1,on_press,light.toggle,F3,
12,2,on_press,light.toggle,F2,
13,1,on_press,light.toggle,F2,
13,2,on_press,light.toggle,F3,
14,1,on_short_press,light.toggle,H1,
14,1,on_long_press,light.toggle,H3,
15,1,on_press,light.toggle,H2,
15,2,on_press,light.toggle,H3,
16,1,on_press,light.toggle,H4,
17,1,on_short_press,light.toggle,I1,
17,1,on_long_press,light.toggle,I4,
17,2,on_press,light.toggle,I3,
17,2,on_press,light.toggle,I3,
18,1,on_short_press,light.toggle,I3,
18,1,on_long_press,light.toggle,I4,
19,1,on_short_press,light.toggle,J1,
19,1,on_long_press,light.toggle,G2,
19,2,on_press,light.toggle,J2,
20,1,on_press,light.toggle,J1,
20,2,on_press,light.toggle,J2,
20,3,on_press,light.toggle,Jx,
20,4,on_press,light.toggle,Jy,
21,1,on_short_press,light.toggle,J1,
21,1,on_long_press,light.toggle,J2,
22,1,on_short_press,light.toggle,K1,
22,1,on_long_press,light.toggle,K3,
22,2,on_short_press,light.toggle,K2,
22,2,on_long_press,light.toggle,K4,
22,3,on_short_press,light.toggle,J3,
22,3,on_long_press,light.toggle,G2,
23,1,on_press,light.toggle,K3,
23,2,on_press,light.toggle,K4,
24,1,on_press,light.toggle,L1,
24,2,on_press,light.toggle,L2,
24,3,on_short_press,light.toggle,L4,
24,3,on_long_press,light.toggle,L3,
25,1,on_press,light.toggle,L1,
25,2,on_press,light.toggle,L2,
26,3,on_press,light.toggle,L2,
26,4,on_press,light.toggle,L1,
27,1,on_press,light.toggle,L4,
27,2,on_press,light.toggle,Lo,
28,1,on_press,light.toggle,M1,
28,2,on_press,light.toggle,M2,
29,1,on_press,light.toggle,M3,
30,1,on_press,light.toggle,N1,
30,2,on_press,light.toggle,N2,
31,4,on_press,light.toggle,N3,
